160.82.220.1 00-00-0c-60-8b-41
160.82.220.9 00-60-97-4b-bf-4c 
160.82.220.13 00-10-4b-49-94-e1 
160.82.220.17 00-80-5f-d8-a4-8b 
160.82.220.22 00-a0-d1-02-a4-cf 
160.82.220.25 00-60-08-75-0d-7a 
160.82.220.26 00-10-4b-44-e4-73 
160.82.220.33 00-10-4b-44-d6-33
160.82.220.34 00-10-4b-4e-67-6a 
160.82.220.35 00-60-97-4b-c4-53 
160.82.220.39 00-10-4b-44-eb-ae 
160.82.220.41 00-10-4b-49-7b-f7 
160.82.220.42 00-00-f8-21-7a-7f 
160.82.220.43 08-00-20-88-82-57 
160.82.220.221 00-80-5f-88-d0-55 
